fecha,trm
2013-02-01,1790.5478571428573
2013-03-01,1813.7487096774194
2013-04-01,1830.2313333333334
2013-05-01,1847.9212903225805
2013-06-01,1909.8493333333333
2013-07-01,1901.5425806451613
2013-08-01,1902.1041935483872
2013-09-01,1919.5123333333333
2013-10-01,1885.1312903225805
2013-11-01,1921.7530000000002
2013-12-01,1932.956129032258
2014-01-01,1957.2870967741935
2014-02-01,2038.4925
2014-03-01,2019.7132258064516
2014-04-01,1938.3603333333333
2014-05-01,1915.3609677419356
2014-06-01,1887.0393333333334
2014-07-01,1857.6441935483872
2014-08-01,1898.1251612903225
2014-09-01,1973.7166666666667
2014-10-01,2048.5674193548384
2014-11-01,2128.683666666667
2014-12-01,2342.253548387097
2015-01-01,2397.2580645161293
2015-02-01,2420.6725
2015-03-01,2585.362258064516
2015-04-01,2505.248
2015-05-01,2437.5351612903223
2015-06-01,2562.4776666666667
2015-07-01,2732.035806451613
2015-08-01,3012.5874193548384
2015-09-01,3066.4080000000004
2015-10-01,2929.472258064516
2015-11-01,3001.376333333333
2015-12-01,3244.201612903226
2016-01-01,3270.1951612903226
2016-02-01,3354.956896551724
2016-03-01,3128.7890322580647
2016-04-01,2997.727
2016-05-01,2993.508387096774
2016-06-01,2992.8586666666665
2016-07-01,2960.999677419355
2016-08-01,2952.7667741935484
2016-09-01,2924.2653333333333
2016-10-01,2929.3887096774192
2016-11-01,3110.2586666666666
2016-12-01,3009.863870967742
2017-01-01,2941.3993548387098
2017-02-01,2879.5667857142857
2017-03-01,2942.286129032258
2017-04-01,2877.8216666666663
2017-05-01,2923.6129032258063
2017-06-01,2957.0983333333334
2017-07-01,3036.5838709677423
2017-08-01,2973.2048387096775
2017-09-01,2917.085
2017-10-01,2953.7558064516134
2017-11-01,3013.4666666666667
2017-12-01,2991.7619354838707
2018-01-01,2868.5722580645165
2018-02-01,2860.252857142857
2018-03-01,2847.9306451612906
2018-04-01,2766.2850000000003
2018-05-01,2861.825806451613
2018-06-01,2889.689
2018-07-01,2885.3219354838707
2018-08-01,2958.6667741935485
2018-09-01,3033.7679999999996
2018-10-01,3084.830967741935
2018-11-01,3194.0343333333335
2018-12-01,3218.5509677419354
2019-01-01,3165.188064516129
2019-02-01,3115.8385714285714
2019-03-01,3128.684193548387
2019-04-01,3155.765
2019-05-01,3304.4945161290325
2019-06-01,3260.517
2019-07-01,3206.6003225806453
2019-08-01,3410.7290322580648
2019-09-01,3399.4570000000003
2019-10-01,3433.311612903226
2019-11-01,3401.473
2019-12-01,3378.0506451612905
2020-01-01,3311.1893548387097
2020-02-01,3411.0527586206895
2020-03-01,3877.048387096774
2020-04-01,3977.3933333333334
2020-05-01,3858.191612903226
2020-06-01,3701.6043333333337
2020-07-01,3657.8667741935483
2020-08-01,3783.025806451613
2020-09-01,3750.2153333333335
2020-10-01,3833.7883870967744
2020-11-01,3685.6266666666666
2020-12-01,3466.1270967741934
2021-01-01,3491.3216129032257
2021-02-01,3554.5042857142857
2021-03-01,3612.7683870967744
2021-04-01,3650.776
2021-05-01,3735.6661290322577
2021-06-01,3685.0426666666667
2021-07-01,3829.418064516129
2021-08-01,3881.183548387097
2021-09-01,3821.5376666666666
2021-10-01,3773.3841935483874
2021-11-01,3902.901
2021-12-01,3963.1335483870967
2022-01-01,3999.6161290322584
2022-02-01,3935.835714285714
2022-03-01,3807.170967741936
2022-04-01,3792.9820000000004
2022-05-01,4019.07935483871
2022-06-01,3930.766666666667
2022-07-01,4367.8058064516135
2022-08-01,4322.4693548387095
2022-09-01,4433.651
2022-10-01,4711.830322580645
2022-11-01,4926.660666666667
2022-12-01,4788.49064516129
2023-01-01,4715.203870967742
2023-02-01,4803.1125
2023-03-01,4766.3058064516135
2023-04-01,4542.674333333333
2023-05-01,4540.089032258064
2023-06-01,4209.268
2023-07-01,4069.233548387097
2023-08-01,4070.7251612903224
2023-09-01,4004.5206666666663
2023-10-01,4222.433225806451
2023-11-01,4038.8046666666664
2023-12-01,3948.2067741935484
2024-01-01,3915.1987096774196
2024-02-01,3931.438620689655
2024-03-01,3899.341290322581
2024-04-01,3867.9753333333333
2024-05-01,3869.1006451612902
2024-06-01,4042.797
2024-07-01,4036.921935483871
2024-08-01,4065.546451612903
2024-09-01,4182.512333333333
2024-10-01,4249.47
2024-11-01,4408.652333333333
2024-12-01,4385.148709677419
2025-01-01,4307.567419354838
2025-02-01,4127.953928571429
2025-03-01,4137.684516129032
2025-04-01,4280.258
2025-05-01,4203.377096774194
2025-06-01,4113.485
2025-07-01,4040.8483870967743
2025-08-01,4047.4116129032254
2025-09-01,3922.212
2025-10-01,3877.8448387096773
2025-11-01,3786.1833333333334
2025-12-01,3791.471935483871
2026-01-01,3702.9990322580647
2026-02-01,3675.6414285714286
2026-03-01,3717.5574193548387
2026-04-01,3673.191666666667
